"Date","Region","Merchant category","Amount CHF","Number of transactions"
"2019-07-29","Zurich","Accommodation",905252.3,5229
"2019-07-29","Zurich","Food and beverage services",2527390.82,98716
"2019-07-29","Zurich","Other",1914374.47,15730
"2019-07-29","Zurich","Retail: Food, beverage, tobacco",8146085.81,293850
"2019-07-29","Zurich","Retail: Fuel stations",1352948.19,34897
"2019-07-29","Zurich","Retail: Other goods",10569148.65,115746
"2019-07-29","Zurich","Transport services",241451.99,11290
"2019-07-30","9999","Food and beverage services",6786.05,480
"2019-07-30","9999","Retail: Fuel stations",24144.43,614
"2019-07-30","9999","Retail: Other goods",3305.2,45
"2019-07-30","Central","Accommodation",1058858.46,5858
"2019-07-30","Central","Food and beverage services",773542.33,17998
"2019-07-30","Central","Other",1041420.37,8665
"2019-07-30","Central","Retail: Food, beverage, tobacco",4351718.1,101452
"2019-07-30","Central","Retail: Fuel stations",1229804.7,28506
"2019-07-30","Central","Retail: Other goods",7247955.19,48444
"2019-07-30","Central","Transport services",340972.53,8528
"2019-07-30","Eastern","Accommodation",1394950.86,6478
"2019-07-30","Eastern","Food and beverage services",772245.100000001,17238
"2019-07-30","Eastern","Other",1195004.89,9333
"2019-07-30","Eastern","Retail: Food, beverage, tobacco",5647351.86,120427
"2019-07-30","Eastern","Retail: Fuel stations",1754367.53,39234
"2019-07-30","Eastern","Retail: Other goods",5805816.66,62845
"2019-07-30","Eastern","Transport services",249959.45,6672
"2019-07-30","Espace Mittelland","Accommodation",1590849.27,8981
"2019-07-30","Espace Mittelland","Food and beverage services",1532492.77,34353
"2019-07-30","Espace Mittelland","Other",1726584.8,14304
"2019-07-30","Espace Mittelland","Retail: Food, beverage, tobacco",9109886.19,234529
"2019-07-30","Espace Mittelland","Retail: Fuel stations",2487622.7,56773
"2019-07-30","Espace Mittelland","Retail: Other goods",10204223.7,104326
"2019-07-30","Espace Mittelland","Transport services",412492.1,11948
"2019-07-30","Lake Geneva","Accommodation",2406909.18,12002
"2019-07-30","Lake Geneva","Food and beverage services",3109739.3,76687
"2019-07-30","Lake Geneva","Other",3303163.71,25270
"2019-07-30","Lake Geneva","Retail: Food, beverage, tobacco",8986172.92,229028
"2019-07-30","Lake Geneva","Retail: Fuel stations",2384790.19,58772
"2019-07-30","Lake Geneva","Retail: Other goods",11122127.44,112284
"2019-07-30","Lake Geneva","Transport services",658039.240000001,25967
"2019-07-30","Northwestern","Accommodation",357904.66,2743
"2019-07-30","Northwestern","Food and beverage services",821285.44,25085
"2019-07-30","Northwestern","Other",1373264.33,12349
"2019-07-30","Northwestern","Retail: Food, beverage, tobacco",4891568,131587
"2019-07-30","Northwestern","Retail: Fuel stations",1433342.05,35182
"2019-07-30","Northwestern","Retail: Other goods",5652101.84,65608
"2019-07-30","Northwestern","Transport services",178888.53,9271
"2019-07-30","Ticino","Accommodation",673606.87,2468
"2019-07-30","Ticino","Food and beverage services",571991.44,10877
"2019-07-30","Ticino","Other",1028521.34,4189
"2019-07-30","Ticino","Retail: Food, beverage, tobacco",1486801.25,34075
"2019-07-30","Ticino","Retail: Fuel stations",1068944.81,21360
"2019-07-30","Ticino","Retail: Other goods",2269615.34,18939
"2019-07-30","Ticino","Transport services",78147.74,2838
"2019-07-30","Zurich","Accommodation",1190523.82,6185
"2019-07-30","Zurich","Food and beverage services",3011024.64,109636
"2019-07-30","Zurich","Other",2191369.71,19894
"2019-07-30","Zurich","Retail: Food, beverage, tobacco",7840186.07,289467
"2019-07-30","Zurich","Retail: Fuel stations",1390737.91,37205
"2019-07-30","Zurich","Retail: Other goods",9488627.38,103612
"2019-07-30","Zurich","Transport services",243471.2,11329
"2019-07-31","9999","Food and beverage services",6841.85,487
"2019-07-31","9999","Retail: Food, beverage, tobacco",85.9,5
"2019-07-31","9999","Retail: Fuel stations",31891.51,805
"2019-07-31","9999","Retail: Other goods",2631.6,45
"2019-07-31","Central","Accommodation",1169954.6,5508
"2019-07-31","Central","Food and beverage services",853055.140000001,19057
"2019-07-31","Central","Other",1119497.53,8961
"2019-07-31","Central","Retail: Food, beverage, tobacco",7023713.44,135232
"2019-07-31","Central","Retail: Fuel stations",1404493,31139
"2019-07-31","Central","Retail: Other goods",8182172.15000001,57117
"2019-07-31","Central","Transport services",179014.19,6375
"2019-07-31","Eastern","Accommodation",1478358.84,6262
"2019-07-31","Eastern","Food and beverage services",891264.81,18962
"2019-07-31","Eastern","Other",1422965.28,10519
"2019-07-31","Eastern","Retail: Food, beverage, tobacco",9863504.48,173062
"2019-07-31","Eastern","Retail: Fuel stations",2024082.52,43263
"2019-07-31","Eastern","Retail: Other goods",7393427.88,80729
"2019-07-31","Eastern","Transport services",173067.3,5199
"2019-07-31","Espace Mittelland","Accommodation",1962658.29,8690
"2019-07-31","Espace Mittelland","Food and beverage services",1753816.44,37301
"2019-07-31","Espace Mittelland","Other",1788430.28,14314
"2019-07-31","Espace Mittelland","Retail: Food, beverage, tobacco",13531883.1,292058
"2019-07-31","Espace Mittelland","Retail: Fuel stations",2876888.49,64957
"2019-07-31","Espace Mittelland","Retail: Other goods",12628805.22,117281
"2019-07-31","Espace Mittelland","Transport services",267205.17,10591
"2019-07-31","Lake Geneva","Accommodation",2847215.77,12444
"2019-07-31","Lake Geneva","Food and beverage services",3468432.1,82932
"2019-07-31","Lake Geneva","Other",3685071.32,26664
"2019-07-31","Lake Geneva","Retail: Food, beverage, tobacco",12132754.93,270888
"2019-07-31","Lake Geneva","Retail: Fuel stations",2805290.44,66899
"2019-07-31","Lake Geneva","Retail: Other goods",12791353.26,124259
"2019-07-31","Lake Geneva","Transport services",675199.060000001,27529
"2019-07-31","Northwestern","Accommodation",403083.76,2669
"2019-07-31","Northwestern","Food and beverage services",860804.97,22941
"2019-07-31","Northwestern","Other",1345494.46,11836
"2019-07-31","Northwestern","Retail: Food, beverage, tobacco",8168163.88,175461
"2019-07-31","Northwestern","Retail: Fuel stations",1651998.17,39032
"2019-07-31","Northwestern","Retail: Other goods",6159734.99,74196
"2019-07-31","Northwestern","Transport services",186244.83,10638
"2019-07-31","Ticino","Accommodation",802338.86,2633
"2019-07-31","Ticino","Food and beverage services",649383.94,11700
"2019-07-31","Ticino","Other",1336746.42,8043
"2019-07-31","Ticino","Retail: Food, beverage, tobacco",2392107.23,46568
"2019-07-31","Ticino","Retail: Fuel stations",1331749.56,23931
"2019-07-31","Ticino","Retail: Other goods",2820928.69,25501
"2019-07-31","Ticino","Transport services",70326.78,2737
"2019-07-31","Zurich","Accommodation",1218157.77,6221
"2019-07-31","Zurich","Food and beverage services",3190868.73,111695
"2019-07-31","Zurich","Other",2325204.54,18875
"2019-07-31","Zurich","Retail: Food, beverage, tobacco",12581829.61,353741
"2019-07-31","Zurich","Retail: Fuel stations",1594823.37,39571
"2019-07-31","Zurich","Retail: Other goods",11361706.36,123632
"2019-07-31","Zurich","Transport services",267994.8,12459
"2019-08-01","9999","Food and beverage services",7358.9,135
"2019-08-01","9999","Retail: Food, beverage, tobacco",191.55,4
"2019-08-01","9999","Retail: Fuel stations",32806.62,932
"2019-08-01","9999","Retail: Other goods",484.5,3
"2019-08-01","Central","Accommodation",1271713.23,7378
"2019-08-01","Central","Food and beverage services",792779.47,13696
"2019-08-01","Central","Other",245837.7,3074
"2019-08-01","Central","Retail: Food, beverage, tobacco",483513.11,23289
"2019-08-01","Central","Retail: Fuel stations",1420042.23,35072
"2019-08-01","Central","Retail: Other goods",3481978.52,6571
"2019-08-01","Central","Transport services",471732.8,10140
"2019-08-01","Eastern","Accommodation",1545773.7,8208
"2019-08-01","Eastern","Food and beverage services",853046.87,12926
"2019-08-01","Eastern","Other",284316.17,3768
"2019-08-01","Eastern","Retail: Food, beverage, tobacco",804920.85,26891
"2019-08-01","Eastern","Retail: Fuel stations",1912401.55,46393
"2019-08-01","Eastern","Retail: Other goods",691757.63,8133
"2019-08-01","Eastern","Transport services",323947.83,7339
"2019-08-01","Espace Mittelland","Accommodation",1791661.87,9643
"2019-08-01","Espace Mittelland","Food and beverage services",1560043.97,25125
"2019-08-01","Espace Mittelland","Other",260210.49,4729
"2019-08-01","Espace Mittelland","Retail: Food, beverage, tobacco",1625539.05,71592
"2019-08-01","Espace Mittelland","Retail: Fuel stations",2696373.07,68235
"2019-08-01","Espace Mittelland","Retail: Other goods",2259106.22,10857
"2019-08-01","Espace Mittelland","Transport services",437852.61,10702
"2019-08-01","Lake Geneva","Accommodation",2758703.7,12760
"2019-08-01","Lake Geneva","Food and beverage services",2955760.08,56479
"2019-08-01","Lake Geneva","Other",809426.82,11916
"2019-08-01","Lake Geneva","Retail: Food, beverage, tobacco",1569991.24,56665
"2019-08-01","Lake Geneva","Retail: Fuel stations",2526694.14,64914
"2019-08-01","Lake Geneva","Retail: Other goods",1403168.62,15944
"2019-08-01","Lake Geneva","Transport services",531241.730000001,18531
"2019-08-01","Northwestern","Accommodation",401791.32,2021
"2019-08-01","Northwestern","Food and beverage services",574169.4,12140
"2019-08-01","Northwestern","Other",244847.42,4331
"2019-08-01","Northwestern","Retail: Food, beverage, tobacco",651034.74,28559
"2019-08-01","Northwestern","Retail: Fuel stations",1536829.1,40264
"2019-08-01","Northwestern","Retail: Other goods",239151.25,4216
"2019-08-01","Northwestern","Transport services",117887.76,5486
"2019-08-01","Ticino","Accommodation",777856.48,2658
"2019-08-01","Ticino","Food and beverage services",611806.5,7679
"2019-08-01","Ticino","Other",283629.78,4716
"2019-08-01","Ticino","Retail: Food, beverage, tobacco",102270.55,4556
"2019-08-01","Ticino","Retail: Fuel stations",1006932.04,22319
"2019-08-01","Ticino","Retail: Other goods",76707.58,740
"2019-08-01","Ticino","Transport services",84038.55,2563
"2019-08-01","Zurich","Accommodation",976280.86,5461
"2019-08-01","Zurich","Food and beverage services",2122540.9,57313
"2019-08-01","Zurich","Other",497385.61,7371
"2019-08-01","Zurich","Retail: Food, beverage, tobacco",1556258.16,81739
"2019-08-01","Zurich","Retail: Fuel stations",1647711.92,47348
"2019-08-01","Zurich","Retail: Other goods",1190386.19,19291
"2019-08-01","Zurich","Transport services",158792.17,7187
"2019-08-02","9999","Food and beverage services",5989.3,385
"2019-08-02","9999","Retail: Food, beverage, tobacco",232.4,8
"2019-08-02","9999","Retail: Fuel stations",24776.58,608
"2019-08-02","9999","Retail: Other goods",2277.05,38
"2019-08-02","Central","Accommodation",1560569,6134
"2019-08-02","Central","Food and beverage services",899340.86,17743
"2019-08-02","Central","Other",1236233.07,10359
"2019-08-02","Central","Retail: Food, beverage, tobacco",6310510.93,121382
"2019-08-02","Central","Retail: Fuel stations",1256837.5,26771
"2019-08-02","Central","Retail: Other goods",9622128.68,70959
"2019-08-02","Central","Transport services",179837.73,6885
"2019-08-02","Eastern","Accommodation",2232288.02,8241
"2019-08-02","Eastern","Food and beverage services",959947.27,17473
"2019-08-02","Eastern","Other",1406785.02,12040
"2019-08-02","Eastern","Retail: Food, beverage, tobacco",7835203.44,141972
"2019-08-02","Eastern","Retail: Fuel stations",1858840.82,38789
"2019-08-02","Eastern","Retail: Other goods",8490448.53,85543
"2019-08-02","Eastern","Transport services",171967.28,5796
"2019-08-02","Espace Mittelland","Accommodation",2148159.71,9647
"2019-08-02","Espace Mittelland","Food and beverage services",1832338.04,35413
"2019-08-02","Espace Mittelland","Other",1915066.99,16928
"2019-08-02","Espace Mittelland","Retail: Food, beverage, tobacco",12951309.7,270494
"2019-08-02","Espace Mittelland","Retail: Fuel stations",2552591.6,54927
"2019-08-02","Espace Mittelland","Retail: Other goods",15157124.26,140272
"2019-08-02","Espace Mittelland","Transport services",211898.06,9960
"2019-08-02","Lake Geneva","Accommodation",3312501.54,13405
"2019-08-02","Lake Geneva","Food and beverage services",3258951.36,70433
"2019-08-02","Lake Geneva","Other",3559074.34,27791
"2019-08-02","Lake Geneva","Retail: Food, beverage, tobacco",12719549.3,260082
"2019-08-02","Lake Geneva","Retail: Fuel stations",2481438.97,56583
"2019-08-02","Lake Geneva","Retail: Other goods",15870167.55,142967
"2019-08-02","Lake Geneva","Transport services",644876.14,25607
"2019-08-02","Northwestern","Accommodation",362436.48,2210
"2019-08-02","Northwestern","Food and beverage services",788372.91,18264
"2019-08-02","Northwestern","Other",1500284.82,14365
"2019-08-02","Northwestern","Retail: Food, beverage, tobacco",6319952.75,138209
"2019-08-02","Northwestern","Retail: Fuel stations",1461750.08,33313
"2019-08-02","Northwestern","Retail: Other goods",7865065.94000001,82793
"2019-08-02","Northwestern","Transport services",201256.75,10179
"2019-08-02","Ticino","Accommodation",1171299.09,3341
"2019-08-02","Ticino","Food and beverage services",687151.1,11324
"2019-08-02","Ticino","Other",1218076.49,9018
"2019-08-02","Ticino","Retail: Food, beverage, tobacco",1922321.32,39319
"2019-08-02","Ticino","Retail: Fuel stations",1292905.39,23472
"2019-08-02","Ticino","Retail: Other goods",3083386.29,27888
"2019-08-02","Ticino","Transport services",54064.58,2610
"2019-08-02","Zurich","Accommodation",1155269.2,5183
"2019-08-02","Zurich","Food and beverage services",2713857.33,85126
"2019-08-02","Zurich","Other",2313668.65,19161
"2019-08-02","Zurich","Retail: Food, beverage, tobacco",10178069.84,281588
"2019-08-02","Zurich","Retail: Fuel stations",1337226.88,32636
"2019-08-02","Zurich","Retail: Other goods",12995426.1,126857
"2019-08-02","Zurich","Transport services",234581.74,11959
"2019-08-03","9999","Food and beverage services",7854.8,278
"2019-08-03","9999","Retail: Food, beverage, tobacco",255.9,11
"2019-08-03","9999","Retail: Fuel stations",23423.25,623
"2019-08-03","9999","Retail: Other goods",1625.5,41
"2019-08-03","Central","Accommodation",1506504.28,7886
"2019-08-03","Central","Food and beverage services",1045923.74,18328
"2019-08-03","Central","Other",887197.2,7859
"2019-08-03","Central","Retail: Food, beverage, tobacco",5788971.59,111410
"2019-08-03","Central","Retail: Fuel stations",1365954.17,30272
"2019-08-03","Central","Retail: Other goods",7766979.26,57363
"2019-08-03","Central","Transport services",464334.1,11544
"2019-08-03","Eastern","Accommodation",2606922.51,9594
"2019-08-03","Eastern","Food and beverage services",1169400.8,18955
"2019-08-03","Eastern","Other",947401.43,8937
"2019-08-03","Eastern","Retail: Food, beverage, tobacco",7712869.64,141097
"2019-08-03","Eastern","Retail: Fuel stations",1990277.65,43936
"2019-08-03","Eastern","Retail: Other goods",7204202.96,77340
"2019-08-03","Eastern","Transport services",370369.92,9255
"2019-08-03","Espace Mittelland","Accommodation",2422117.91,11095
"2019-08-03","Espace Mittelland","Food and beverage services",2094134.07,35296
"2019-08-03","Espace Mittelland","Other",1260532.37,12132
"2019-08-03","Espace Mittelland","Retail: Food, beverage, tobacco",11717988.74,246323
"2019-08-03","Espace Mittelland","Retail: Fuel stations",2686604.6,60969
"2019-08-03","Espace Mittelland","Retail: Other goods",12245065.97,116604
"2019-08-03","Espace Mittelland","Transport services",501086.24,14276
"2019-08-03","Lake Geneva","Accommodation",3085215.93,14102
"2019-08-03","Lake Geneva","Food and beverage services",3382131.72,59480
"2019-08-03","Lake Geneva","Other",2147703.82,23269
"2019-08-03","Lake Geneva","Retail: Food, beverage, tobacco",11496584.12,231206
"2019-08-03","Lake Geneva","Retail: Fuel stations",2496406.29,57651
"2019-08-03","Lake Geneva","Retail: Other goods",13351171.17,127146
"2019-08-03","Lake Geneva","Transport services",771340.609999999,25395
"2019-08-03","Northwestern","Accommodation",335978.53,2327
"2019-08-03","Northwestern","Food and beverage services",853694.27,17549
"2019-08-03","Northwestern","Other",1112738.03,11390
"2019-08-03","Northwestern","Retail: Food, beverage, tobacco",7269649.30999999,144580
"2019-08-03","Northwestern","Retail: Fuel stations",1458216.35,33796
"2019-08-03","Northwestern","Retail: Other goods",7668681.39,82902
"2019-08-03","Northwestern","Transport services",169786.31,9017
"2019-08-03","Ticino","Accommodation",1223078.99,3407
"2019-08-03","Ticino","Food and beverage services",744520.45,10607
"2019-08-03","Ticino","Other",581954.19,9764
"2019-08-03","Ticino","Retail: Food, beverage, tobacco",1786794.7,36625
"2019-08-03","Ticino","Retail: Fuel stations",1238103.83,25218
"2019-08-03","Ticino","Retail: Other goods",2457193.4,21853
"2019-08-03","Ticino","Transport services",99758.65,3209
"2019-08-03","Zurich","Accommodation",1016736.12,5312
"2019-08-03","Zurich","Food and beverage services",2824151.61,71622
"2019-08-03","Zurich","Other",1658256.91,16376
"2019-08-03","Zurich","Retail: Food, beverage, tobacco",11338768.98,274546
"2019-08-03","Zurich","Retail: Fuel stations",1379871.82,34089
"2019-08-03","Zurich","Retail: Other goods",12792309.14,122832
"2019-08-03","Zurich","Transport services",213974.82,11581
"2019-08-04","9999","Food and beverage services",4590,117
"2019-08-04","9999","Retail: Food, beverage, tobacco",88.1,5
"2019-08-04","9999","Retail: Fuel stations",25352.38,766
"2019-08-04","9999","Retail: Other goods",344.7,2
"2019-08-04","Central","Accommodation",1699181.14,8254
"2019-08-04","Central","Food and beverage services",788183.41,14677
"2019-08-04","Central","Other",255798.97,3982
"2019-08-04","Central","Retail: Food, beverage, tobacco",398216.9,21671
"2019-08-04","Central","Retail: Fuel stations",1378858.88,34189
"2019-08-04","Central","Retail: Other goods",2807338.37,5605
"2019-08-04","Central","Transport services",461265.35,9966
"2019-08-04","Eastern","Accommodation",3079850.66,10378
"2019-08-04","Eastern","Food and beverage services",974371.99,15972
"2019-08-04","Eastern","Other",302521.57,4796
"2019-08-04","Eastern","Retail: Food, beverage, tobacco",600310.28,24040
"2019-08-04","Eastern","Retail: Fuel stations",2019505.35,49304
"2019-08-04","Eastern","Retail: Other goods",462672.68,5778
"2019-08-04","Eastern","Transport services",361677.55,7954
"2019-08-04","Espace Mittelland","Accommodation",2296131.45,10733
"2019-08-04","Espace Mittelland","Food and beverage services",1636620.19,28810
"2019-08-04","Espace Mittelland","Other",363039.43,6448
"2019-08-04","Espace Mittelland","Retail: Food, beverage, tobacco",1151734.69,61815
"2019-08-04","Espace Mittelland","Retail: Fuel stations",2685126.65,67929
"2019-08-04","Espace Mittelland","Retail: Other goods",2166232.96,8255
"2019-08-04","Espace Mittelland","Transport services",466440.25,10997
"2019-08-04","Lake Geneva","Accommodation",3290129.19,13907
"2019-08-04","Lake Geneva","Food and beverage services",2584721.04,48028
"2019-08-04","Lake Geneva","Other",838918.98,13302
"2019-08-04","Lake Geneva","Retail: Food, beverage, tobacco",1394751.3,51897
"2019-08-04","Lake Geneva","Retail: Fuel stations",2456883.46,63892
"2019-08-04","Lake Geneva","Retail: Other goods",1147097.81,14151
"2019-08-04","Lake Geneva","Transport services",605531.899999999,18063
"2019-08-04","Northwestern","Accommodation",325520.68,2475
"2019-08-04","Northwestern","Food and beverage services",615939.28,13051
"2019-08-04","Northwestern","Other",310811.65,6042
"2019-08-04","Northwestern","Retail: Food, beverage, tobacco",614936.1,29021
"2019-08-04","Northwestern","Retail: Fuel stations",1460292.51,38763
"2019-08-04","Northwestern","Retail: Other goods",139776.45,3125
"2019-08-04","Northwestern","Transport services",140763.8,5507
"2019-08-04","Ticino","Accommodation",1102156.71,3484
"2019-08-04","Ticino","Food and beverage services",530986.37,8127
"2019-08-04","Ticino","Other",296754.98,6955
"2019-08-04","Ticino","Retail: Food, beverage, tobacco",100347.65,5233
"2019-08-04","Ticino","Retail: Fuel stations",1099095.3,24355
"2019-08-04","Ticino","Retail: Other goods",757605.1,5415
"2019-08-04","Ticino","Transport services",85040.2,2408
"2019-08-04","Zurich","Accommodation",1014065.69,5001
"2019-08-04","Zurich","Food and beverage services",2147602.8,58937
"2019-08-04","Zurich","Other",587022,10170
"2019-08-04","Zurich","Retail: Food, beverage, tobacco",1332774.62,74953
"2019-08-04","Zurich","Retail: Fuel stations",1505452.59,44505
"2019-08-04","Zurich","Retail: Other goods",1090308.89,18236
"2019-08-04","Zurich","Transport services",183902.72,8187
"2019-08-05","9999","Food and beverage services",5389.8,518
"2019-08-05","9999","Retail: Fuel stations",22366.55,565
"2019-08-05","9999","Retail: Other goods",1306.1,34
"2019-08-05","Central","Accommodation",1074529.94,5343
"2019-08-05","Central","Food and beverage services",656111.12,17026
"2019-08-05","Central","Other",847317.71,6787
"2019-08-05","Central","Retail: Food, beverage, tobacco",4389091.76,107280
"2019-08-05","Central","Retail: Fuel stations",1207861.22,27754
"2019-08-05","Central","Retail: Other goods",6698157.30999999,47072
"2019-08-05","Central","Transport services",291073.78,7544
"2019-08-05","Eastern","Accommodation",1548792.8,5880
"2019-08-05","Eastern","Food and beverage services",641878.88,16414
"2019-08-05","Eastern","Other",994687.29,8099
"2019-08-05","Eastern","Retail: Food, beverage, tobacco",5883411.11,129802
"2019-08-05","Eastern","Retail: Fuel stations",1732096.51,38711
"2019-08-05","Eastern","Retail: Other goods",5217556.63,62657
"2019-08-05","Eastern","Transport services",234662.15,5852
"2019-08-05","Espace Mittelland","Accommodation",1754231.01,8181
"2019-08-05","Espace Mittelland","Food and beverage services",1266324.29,32162
"2019-08-05","Espace Mittelland","Other",1425269.39,12029
"2019-08-05","Espace Mittelland","Retail: Food, beverage, tobacco",9190079.70999999,248945
"2019-08-05","Espace Mittelland","Retail: Fuel stations",2435783.87,56597
"2019-08-05","Espace Mittelland","Retail: Other goods",10060929.91,100277
"2019-08-05","Espace Mittelland","Transport services",362578.56,11071
"2019-08-05","Lake Geneva","Accommodation",2499730.6,10736
"2019-08-05","Lake Geneva","Food and beverage services",2486268.53,68683
"2019-08-05","Lake Geneva","Other",3054381.47,22400
"2019-08-05","Lake Geneva","Retail: Food, beverage, tobacco",9546707.65000001,243006
"2019-08-05","Lake Geneva","Retail: Fuel stations",2273933.28,57130
"2019-08-05","Lake Geneva","Retail: Other goods",11217375.94,109131
"2019-08-05","Lake Geneva","Transport services",745599.97,25143
"2019-08-05","Northwestern","Accommodation",298359.57,2198
"2019-08-05","Northwestern","Food and beverage services",605769.13,19621
"2019-08-05","Northwestern","Other",1187291.89,11015
"2019-08-05","Northwestern","Retail: Food, beverage, tobacco",4929936.57,140440
"2019-08-05","Northwestern","Retail: Fuel stations",1387780.45,34262
"2019-08-05","Northwestern","Retail: Other goods",5070684.31,63777
"2019-08-05","Northwestern","Transport services",239832.02,9667
"2019-08-05","Ticino","Accommodation",783087.15,2350
"2019-08-05","Ticino","Food and beverage services",438397.37,9334
"2019-08-05","Ticino","Other",1088971.9,6301
"2019-08-05","Ticino","Retail: Food, beverage, tobacco",1496571.95,34544
"2019-08-05","Ticino","Retail: Fuel stations",1090746.34,20404
"2019-08-05","Ticino","Retail: Other goods",1948446.59,18362
"2019-08-05","Ticino","Transport services",79721.9,2407
"2019-08-05","Zurich","Accommodation",1152638.88,5345
"2019-08-05","Zurich","Food and beverage services",2442408.23,99351
"2019-08-05","Zurich","Other",2024062.38,16687
"2019-08-05","Zurich","Retail: Food, beverage, tobacco",8621562.18000001,311742
"2019-08-05","Zurich","Retail: Fuel stations",1307546.58,34978
"2019-08-05","Zurich","Retail: Other goods",8989292.93,101352
"2019-08-05","Zurich","Transport services",235071.38,10478
"2019-08-06","9999","Food and beverage services",7783.85,603
"2019-08-06","9999","Retail: Fuel stations",21883.7,567
"2019-08-06","9999","Retail: Other goods",932.65,28
"2019-08-06","Central","Accommodation",1040118.32,4864
"2019-08-06","Central","Food and beverage services",762994.9,18483
"2019-08-06","Central","Other",1077134.09,8656
"2019-08-06","Central","Retail: Food, beverage, tobacco",4114230.94,100159
"2019-08-06","Central","Retail: Fuel stations",1101386.4,25024
"2019-08-06","Central","Retail: Other goods",7091462.86,50915
"2019-08-06","Central","Transport services",181362,6610
"2019-08-06","Eastern","Accommodation",1241864.33,5327
"2019-08-06","Eastern","Food and beverage services",717681.080000001,17582
"2019-08-06","Eastern","Other",1281738.6,10021
"2019-08-06","Eastern","Retail: Food, beverage, tobacco",5462526.09,120996
"2019-08-06","Eastern","Retail: Fuel stations",1656509.71,36015
"2019-08-06","Eastern","Retail: Other goods",5839100.39,66532
"2019-08-06","Eastern","Transport services",158445.74,5257
"2019-08-06","Espace Mittelland","Accommodation",1574095.73,7931
"2019-08-06","Espace Mittelland","Food and beverage services",1467166.17,35458
"2019-08-06","Espace Mittelland","Other",1725591.96,14998
"2019-08-06","Espace Mittelland","Retail: Food, beverage, tobacco",8570427.37000001,234177
"2019-08-06","Espace Mittelland","Retail: Fuel stations",2317781.58,52423
"2019-08-06","Espace Mittelland","Retail: Other goods",10523538.95,105199
"2019-08-06","Espace Mittelland","Transport services",293679.89,10671
"2019-08-06","Lake Geneva","Accommodation",2653374.86,11064
"2019-08-06","Lake Geneva","Food and beverage services",2876255.8,72761
"2019-08-06","Lake Geneva","Other",3248213.28,24460
"2019-08-06","Lake Geneva","Retail: Food, beverage, tobacco",8634471.11,225650
"2019-08-06","Lake Geneva","Retail: Fuel stations",2091496.22,52403
"2019-08-06","Lake Geneva","Retail: Other goods",11371795.94,106387
"2019-08-06","Lake Geneva","Transport services",608457.06,25041
"2019-08-06","Northwestern","Accommodation",297296.2,2463
"2019-08-06","Northwestern","Food and beverage services",755342.74,22961
"2019-08-06","Northwestern","Other",1483337.3,13063
"2019-08-06","Northwestern","Retail: Food, beverage, tobacco",4679648.3,133727
"2019-08-06","Northwestern","Retail: Fuel stations",1359644.3,33019
"2019-08-06","Northwestern","Retail: Other goods",5462065.93,66496
"2019-08-06","Northwestern","Transport services",214206.84,9556
"2019-08-06","Ticino","Accommodation",617570.489999999,2262
"2019-08-06","Ticino","Food and beverage services",480118.87,9540
"2019-08-06","Ticino","Other",1033836.37,5974
"2019-08-06","Ticino","Retail: Food, beverage, tobacco",1268975.81,31327
"2019-08-06","Ticino","Retail: Fuel stations",1002438.37,18308
"2019-08-06","Ticino","Retail: Other goods",2308965.14,19363
"2019-08-06","Ticino","Transport services",59687.45,2567
"2019-08-06","Zurich","Accommodation",1138166,5760
"2019-08-06","Zurich","Food and beverage services",2811778.25,107488
"2019-08-06","Zurich","Other",2307895.93,18694
"2019-08-06","Zurich","Retail: Food, beverage, tobacco",7806587.09,285505
"2019-08-06","Zurich","Retail: Fuel stations",1285154.65,32811
"2019-08-06","Zurich","Retail: Other goods",9351802.89,99931
"2019-08-06","Zurich","Transport services",281630.87,12559
"2019-08-07","9999","Food and beverage services",6970.7,569
"2019-08-07","9999","Retail: Food, beverage, tobacco",52.6,3
"2019-08-07","9999","Retail: Fuel stations",20312.21,548
"2019-08-07","9999","Retail: Other goods",1391.35,31
"2019-08-07","Central","Accommodation",998736.31,4761
"2019-08-07","Central","Food and beverage services",863356.47,20185
"2019-08-07","Central","Other",1194682.15,10014
"2019-08-07","Central","Retail: Food, beverage, tobacco",4272748.15,103505
"2019-08-07","Central","Retail: Fuel stations",1141253.1,25864
"2019-08-07","Central","Retail: Other goods",8466838.84,59690
"2019-08-07","Central","Transport services",139072.99,6477
"2019-08-07","Eastern","Accommodation",1201540.57,5320
"2019-08-07","Eastern","Food and beverage services",831115.21,18686
"2019-08-07","Eastern","Other",1324126.69,11611
"2019-08-07","Eastern","Retail: Food, beverage, tobacco",5647748.5,124516
"2019-08-07","Eastern","Retail: Fuel stations",1698038.3,36926
"2019-08-07","Eastern","Retail: Other goods",6802373.05,73393
"2019-08-07","Eastern","Transport services",94071.73,4478
"2019-08-07","Espace Mittelland","Accommodation",1660859.64,7849
"2019-08-07","Espace Mittelland","Food and beverage services",1640861.48,38789
"2019-08-07","Espace Mittelland","Other",1924295.77,17307
"2019-08-07","Espace Mittelland","Retail: Food, beverage, tobacco",8950550.13000001,240178
"2019-08-07","Espace Mittelland","Retail: Fuel stations",2398864.02,54128
"2019-08-07","Espace Mittelland","Retail: Other goods",12525605.44,120002
"2019-08-07","Espace Mittelland","Transport services",203386.22,9682
"2019-08-07","Lake Geneva","Accommodation",2807874.85,11584
"2019-08-07","Lake Geneva","Food and beverage services",3080476.07,75922
