"Date","Payment method","Merchant category","Amount CHF","Number of transactions"
"2019-10-07","Debit","Retail: Food, beverage, tobacco",30808518.81,947318
"2019-10-07","Debit","Retail: Fuel stations",7972133.65999999,198887
"2019-10-07","Debit","Retail: Other goods",29676650.15,374530
"2019-10-07","Debit","Transport services",774278.57,38310
"2019-10-07","Mobile","Accommodation",4210.35,68
"2019-10-07","Mobile","Food and beverage services",71578.87,4383
"2019-10-07","Mobile","Other",299497.68,3650
"2019-10-07","Mobile","Professional services",68757.01,1162
"2019-10-07","Mobile","Retail: Food, beverage, tobacco",219258.99,7957
"2019-10-07","Mobile","Retail: Fuel stations",11892.96,541
"2019-10-07","Mobile","Retail: Other goods",1668859.93,6476
"2019-10-07","Mobile","Transport services",313103.56,14794
"2019-10-08","Credit","Accommodation",5528010.45999999,22776
"2019-10-08","Credit","Food and beverage services",4973831.83000001,131947
"2019-10-08","Credit","Other",4859527.74,37096
"2019-10-08","Credit","Professional services",3948273.27,31937
"2019-10-08","Credit","Retail: Food, beverage, tobacco",9466242.93999998,286151
"2019-10-08","Credit","Retail: Fuel stations",2883160.56,62163
"2019-10-08","Credit","Retail: Other goods",24126985.6999999,147548
"2019-10-08","Credit","Transport services",3531070.84,159639
"2019-10-08","Debit","Accommodation",1148151.8,10771
"2019-10-08","Debit","Food and beverage services",5147403.59,200493
"2019-10-08","Debit","Other",6234363.39,46546
"2019-10-08","Debit","Professional services",1726195.04,15420
"2019-10-08","Debit","Retail: Food, beverage, tobacco",29152653.62,917119
"2019-10-08","Debit","Retail: Fuel stations",7992775.18,204201
"2019-10-08","Debit","Retail: Other goods",29346779.7099999,358413
"2019-10-08","Debit","Transport services",756280.489999999,40710
"2019-10-08","Mobile","Accommodation",7470.05,85
"2019-10-08","Mobile","Food and beverage services",74543.61,4585
"2019-10-08","Mobile","Other",473434.59,6859
"2019-10-08","Mobile","Professional services",56898.42,1082
"2019-10-08","Mobile","Retail: Food, beverage, tobacco",201007.64,7590
"2019-10-08","Mobile","Retail: Fuel stations",13580.64,546
"2019-10-08","Mobile","Retail: Other goods",1521760.75,6033
"2019-10-08","Mobile","Transport services",248517.53,14346
"2019-10-09","Credit","Accommodation",6282499.98999999,23458
"2019-10-09","Credit","Food and beverage services",5383537.71000001,136264
"2019-10-09","Credit","Other",5098112.06,38797
"2019-10-09","Credit","Professional services",4053647.51,31494
"2019-10-09","Credit","Retail: Food, beverage, tobacco",9356121.13999999,273165
"2019-10-09","Credit","Retail: Fuel stations",2865822.91,60289
"2019-10-09","Credit","Retail: Other goods",23672835.0099999,153494
"2019-10-09","Credit","Transport services",3381041.03,168559
"2019-10-09","Debit","Accommodation",1257190.01,10762
"2019-10-09","Debit","Food and beverage services",5465032.73000001,206306
"2019-10-09","Debit","Other",6559202.61,51931
"2019-10-09","Debit","Professional services",1746390.59,16629
"2019-10-09","Debit","Retail: Food, beverage, tobacco",29519107.33,886209
"2019-10-09","Debit","Retail: Fuel stations",7880716.93999999,196133
"2019-10-09","Debit","Retail: Other goods",31294704.98,376464
"2019-10-09","Debit","Transport services",589272.09,41378
"2019-10-09","Mobile","Accommodation",5769.05,81
"2019-10-09","Mobile","Food and beverage services",82624.8,4735
"2019-10-09","Mobile","Other",282641.77,3623
"2019-10-09","Mobile","Professional services",57396.92,1014
"2019-10-09","Mobile","Retail: Food, beverage, tobacco",201015.88,7282
"2019-10-09","Mobile","Retail: Fuel stations",12889.09,523
"2019-10-09","Mobile","Retail: Other goods",1470585.72,5978
"2019-10-09","Mobile","Transport services",280390.35,16019
"2019-10-10","Credit","Accommodation",7161004.19999999,25435
"2019-10-10","Credit","Food and beverage services",5943282.27,143880
"2019-10-10","Credit","Other",4780406.89,36178
"2019-10-10","Credit","Professional services",4115618.37,32882
"2019-10-10","Credit","Retail: Food, beverage, tobacco",10225955.06,293175
"2019-10-10","Credit","Retail: Fuel stations",3115656.87999999,66368
"2019-10-10","Credit","Retail: Other goods",25232230.8699998,168157
"2019-10-10","Credit","Transport services",3638406.39,176354
"2019-10-10","Debit","Accommodation",1498383.19,12316
"2019-10-10","Debit","Food and beverage services",6187914.61,222119
"2019-10-10","Debit","Other",6799106.8,51826
"2019-10-10","Debit","Professional services",1690653.84,15622
"2019-10-10","Debit","Retail: Food, beverage, tobacco",30748700.61,930235
"2019-10-10","Debit","Retail: Fuel stations",8300456.95999999,209908
"2019-10-10","Debit","Retail: Other goods",32745925.17,394343
"2019-10-10","Debit","Transport services",751553.89,43201
"2019-10-10","Mobile","Accommodation",6657.7,94
"2019-10-10","Mobile","Food and beverage services",79284.67,4638
"2019-10-10","Mobile","Other",255597.76,3198
"2019-10-10","Mobile","Professional services",39237.9,822
"2019-10-10","Mobile","Retail: Food, beverage, tobacco",209283.25,7524
"2019-10-10","Mobile","Retail: Fuel stations",13897.81,582
"2019-10-10","Mobile","Retail: Other goods",1313590.31,5523
"2019-10-10","Mobile","Transport services",260137.45,16321
"2019-10-11","Credit","Accommodation",8246027.03,27990
"2019-10-11","Credit","Food and beverage services",7240300.36000001,150202
"2019-10-11","Credit","Other",5166181.32,38106
"2019-10-11","Credit","Professional services",3625493.54999999,27071
"2019-10-11","Credit","Retail: Food, beverage, tobacco",13081817.14,322413
"2019-10-11","Credit","Retail: Fuel stations",3574870.88999999,76272
"2019-10-11","Credit","Retail: Other goods",25135225.1299998,158609
"2019-10-11","Credit","Transport services",3922631.25,189132
"2019-10-11","Debit","Accommodation",2151807.79,16602
"2019-10-11","Debit","Food and beverage services",8003153.92,243839
"2019-10-11","Debit","Other",7322947.03,59268
"2019-10-11","Debit","Professional services",1759618.25,16541
"2019-10-11","Debit","Retail: Food, beverage, tobacco",40147436.4600001,1036154
"2019-10-11","Debit","Retail: Fuel stations",9579382.63,239138
"2019-10-11","Debit","Retail: Other goods",33391670.48,406149
"2019-10-11","Debit","Transport services",931418.11,47680
"2019-10-11","Mobile","Accommodation",15828.15,137
"2019-10-11","Mobile","Food and beverage services",93494.62,4595
"2019-10-11","Mobile","Other",270043.35,3500
"2019-10-11","Mobile","Professional services",45841.64,759
"2019-10-11","Mobile","Retail: Food, beverage, tobacco",255791.17,8006
"2019-10-11","Mobile","Retail: Fuel stations",13695.09,574
"2019-10-11","Mobile","Retail: Other goods",1400111.66,5155
"2019-10-11","Mobile","Transport services",279236.26,19186
"2019-10-12","Credit","Accommodation",6480056.64999999,26267
"2019-10-12","Credit","Food and beverage services",6903334.17000003,106136
"2019-10-12","Credit","Other",4152292.33,38445
"2019-10-12","Credit","Professional services",1998002.2,19330
"2019-10-12","Credit","Retail: Food, beverage, tobacco",16015128.43,330080
"2019-10-12","Credit","Retail: Fuel stations",3500858.23,73197
"2019-10-12","Credit","Retail: Other goods",31549463.0599999,194077
"2019-10-12","Credit","Transport services",3517100.87,180614
"2019-10-12","Debit","Accommodation",2438671.8,18032
"2019-10-12","Debit","Food and beverage services",7719090.30000001,172768
"2019-10-12","Debit","Other",5067652.05,54127
"2019-10-12","Debit","Professional services",965821.44,11289
"2019-10-12","Debit","Retail: Food, beverage, tobacco",49683906.02,1038659
"2019-10-12","Debit","Retail: Fuel stations",9255432.40999999,222622
"2019-10-12","Debit","Retail: Other goods",43629749.57,501543
"2019-10-12","Debit","Transport services",1159582.39,51881
"2019-10-12","Mobile","Accommodation",4664.46,55
"2019-10-12","Mobile","Food and beverage services",42956.72,1076
"2019-10-12","Mobile","Other",164416.39,2380
"2019-10-12","Mobile","Professional services",19465.39,341
"2019-10-12","Mobile","Retail: Food, beverage, tobacco",138318.88,3183
"2019-10-12","Mobile","Retail: Fuel stations",6970.08,311
"2019-10-12","Mobile","Retail: Other goods",1074705.48,3044
"2019-10-12","Mobile","Transport services",178807,12792
"2019-10-13","Credit","Accommodation",6734775.97999999,26094
"2019-10-13","Credit","Food and beverage services",4931624.60000001,85412
"2019-10-13","Credit","Other",2087896.73,25098
"2019-10-13","Credit","Professional services",1510682.97,17213
"2019-10-13","Credit","Retail: Food, beverage, tobacco",1757786.06,78285
"2019-10-13","Credit","Retail: Fuel stations",3306194.42,77652
"2019-10-13","Credit","Retail: Other goods",7758092.63000001,45323
"2019-10-13","Credit","Transport services",3645304.6,154390
"2019-10-13","Debit","Accommodation",2472599.86,18069
"2019-10-13","Debit","Food and beverage services",5251138.86,117883
"2019-10-13","Debit","Other",1364285.76,26910
"2019-10-13","Debit","Professional services",201783.34,3459
"2019-10-13","Debit","Retail: Food, beverage, tobacco",3559920.86,190391
"2019-10-13","Debit","Retail: Fuel stations",8651803.47000002,236528
"2019-10-13","Debit","Retail: Other goods",2048019.42,32540
"2019-10-13","Debit","Transport services",1046799.77,36960
"2019-10-13","Mobile","Accommodation",9226.6,90
"2019-10-13","Mobile","Food and beverage services",51581.77,1524
"2019-10-13","Mobile","Other",177311.74,2246
"2019-10-13","Mobile","Professional services",28595.89,546
"2019-10-13","Mobile","Retail: Food, beverage, tobacco",54919.13,1922
"2019-10-13","Mobile","Retail: Fuel stations",13559.8,607
"2019-10-13","Mobile","Retail: Other goods",685382.2,3332
"2019-10-13","Mobile","Transport services",287753.2,15448
"2019-10-14","Credit","Accommodation",5142161.27999999,20881
"2019-10-14","Credit","Food and beverage services",4046882.52999999,121021
"2019-10-14","Credit","Other",4254533.68,30348
"2019-10-14","Credit","Professional services",3539728.42999999,29129
"2019-10-14","Credit","Retail: Food, beverage, tobacco",9855533.37999997,300675
"2019-10-14","Credit","Retail: Fuel stations",3012964.52,66354
"2019-10-14","Credit","Retail: Other goods",20749115.4299998,145514
"2019-10-14","Credit","Transport services",3569268.07000001,158189
"2019-10-14","Debit","Accommodation",1146054.57,10006
"2019-10-14","Debit","Food and beverage services",4186464.63,179838
"2019-10-14","Debit","Other",4560531.91,36021
"2019-10-14","Debit","Professional services",1678883.18,15275
"2019-10-14","Debit","Retail: Food, beverage, tobacco",30007637.41,940234
"2019-10-14","Debit","Retail: Fuel stations",7689101.85,197725
"2019-10-14","Debit","Retail: Other goods",24195813.6699999,324493
"2019-10-14","Debit","Transport services",797309.35,38632
"2019-10-14","Mobile","Accommodation",6258.2,76
"2019-10-14","Mobile","Food and beverage services",64920.69,4206
"2019-10-14","Mobile","Other",237732.49,2808
"2019-10-14","Mobile","Professional services",55867.39,970
"2019-10-14","Mobile","Retail: Food, beverage, tobacco",218685.26,8015
"2019-10-14","Mobile","Retail: Fuel stations",12835.09,533
"2019-10-14","Mobile","Retail: Other goods",1180532.2,5515
"2019-10-14","Mobile","Transport services",295708.49,15114
"2019-10-15","Credit","Accommodation",5304004.88999999,21285
"2019-10-15","Credit","Food and beverage services",4906818.84000002,132276
"2019-10-15","Credit","Other",4663083.32,33629
"2019-10-15","Credit","Professional services",3530074.12,25870
"2019-10-15","Credit","Retail: Food, beverage, tobacco",9665432.34000001,284153
"2019-10-15","Credit","Retail: Fuel stations",2817901.24,60568
"2019-10-15","Credit","Retail: Other goods",22643765.5299999,144097
"2019-10-15","Credit","Transport services",3407307.18,162316
"2019-10-15","Debit","Accommodation",1056416.96,9437
"2019-10-15","Debit","Food and beverage services",4763137.36,196525
"2019-10-15","Debit","Other",5999444.02,47445
"2019-10-15","Debit","Professional services",1545049.83,14707
"2019-10-15","Debit","Retail: Food, beverage, tobacco",28979285.4,884027
"2019-10-15","Debit","Retail: Fuel stations",7379945.34,185612
"2019-10-15","Debit","Retail: Other goods",26608409.47,330250
"2019-10-15","Debit","Transport services",588360.05,38888
"2019-10-15","Mobile","Accommodation",3518.9,80
"2019-10-15","Mobile","Food and beverage services",77197.22,4782
"2019-10-15","Mobile","Other",268184.79,3209
"2019-10-15","Mobile","Professional services",50189.86,832
"2019-10-15","Mobile","Retail: Food, beverage, tobacco",203156.82,7480
"2019-10-15","Mobile","Retail: Fuel stations",11431.84,510
"2019-10-15","Mobile","Retail: Other goods",1536583.56,5624
"2019-10-15","Mobile","Transport services",277839.48,15476
"2019-10-16","Credit","Accommodation",5928397.95,23857
"2019-10-16","Credit","Food and beverage services",5625045.39000002,139656
"2019-10-16","Credit","Other",5021739.84,34239
"2019-10-16","Credit","Professional services",3328561.39,24953
"2019-10-16","Credit","Retail: Food, beverage, tobacco",9692037.98999995,294784
"2019-10-16","Credit","Retail: Fuel stations",3141598.64,68128
"2019-10-16","Credit","Retail: Other goods",23240989.4899998,150215
"2019-10-16","Credit","Transport services",3406077.49000001,166531
"2019-10-16","Debit","Accommodation",1196290.43,11268
"2019-10-16","Debit","Food and beverage services",5594547.43,207899
"2019-10-16","Debit","Other",6104262.72,47987
"2019-10-16","Debit","Professional services",1637316.52,15719
"2019-10-16","Debit","Retail: Food, beverage, tobacco",28642233.24,909385
"2019-10-16","Debit","Retail: Fuel stations",8008633.76,204554
"2019-10-16","Debit","Retail: Other goods",28599066.8599999,358252
"2019-10-16","Debit","Transport services",732313.82,41525
"2019-10-16","Mobile","Accommodation",7972.15,83
"2019-10-16","Mobile","Food and beverage services",76411.67,4611
"2019-10-16","Mobile","Other",231193.1,2719
"2019-10-16","Mobile","Professional services",39797.73,761
"2019-10-16","Mobile","Retail: Food, beverage, tobacco",193925.23,7645
"2019-10-16","Mobile","Retail: Fuel stations",10918.98,547
"2019-10-16","Mobile","Retail: Other goods",1409018.73,5738
"2019-10-16","Mobile","Transport services",242871.15,15335
"2019-10-17","Credit","Accommodation",6532110.78,24334
"2019-10-17","Credit","Food and beverage services",5938336.30000003,142570
"2019-10-17","Credit","Other",4663156.91,34381
"2019-10-17","Credit","Professional services",3476795.30999999,25422
"2019-10-17","Credit","Retail: Food, beverage, tobacco",10253607.3699999,299592
"2019-10-17","Credit","Retail: Fuel stations",3146800.76999999,68465
"2019-10-17","Credit","Retail: Other goods",23451624.6299999,153757
"2019-10-17","Credit","Transport services",3544226.94,174375
"2019-10-17","Debit","Accommodation",1325189.1,12281
"2019-10-17","Debit","Food and beverage services",6011119.26,217541
"2019-10-17","Debit","Other",6219682.54,47954
"2019-10-17","Debit","Professional services",1585074.64,14618
"2019-10-17","Debit","Retail: Food, beverage, tobacco",29339316.31,910137
"2019-10-17","Debit","Retail: Fuel stations",7886403.89,202066
"2019-10-17","Debit","Retail: Other goods",28201295.31,347803
"2019-10-17","Debit","Transport services",755404.659999999,42997
"2019-10-17","Mobile","Accommodation",6293.95,104
"2019-10-17","Mobile","Food and beverage services",80006.0700000001,4701
"2019-10-17","Mobile","Other",220862.24,2545
"2019-10-17","Mobile","Professional services",53474.83,779
"2019-10-17","Mobile","Retail: Food, beverage, tobacco",193965.71,7559
"2019-10-17","Mobile","Retail: Fuel stations",11870.95,539
"2019-10-17","Mobile","Retail: Other goods",1418694.07,5359
"2019-10-17","Mobile","Transport services",252266.84,16191
"2019-10-18","Credit","Accommodation",7339633.15,24848
"2019-10-18","Credit","Food and beverage services",6981124.09000001,148700
"2019-10-18","Credit","Other",5414669.53,40532
"2019-10-18","Credit","Professional services",3558297.13,26888
"2019-10-18","Credit","Retail: Food, beverage, tobacco",14377565.78,341339
"2019-10-18","Credit","Retail: Fuel stations",3439183.33,73216
"2019-10-18","Credit","Retail: Other goods",25714072.6299998,167164
"2019-10-18","Credit","Transport services",3595141.9,186280
"2019-10-18","Debit","Accommodation",1722763.57,13793
"2019-10-18","Debit","Food and beverage services",7637959.58,238611
"2019-10-18","Debit","Other",7324136.51,59512
"2019-10-18","Debit","Professional services",1766708.31,16729
"2019-10-18","Debit","Retail: Food, beverage, tobacco",42399668.36,1051146
"2019-10-18","Debit","Retail: Fuel stations",8717288.85,217520
"2019-10-18","Debit","Retail: Other goods",33705227.43,403380
"2019-10-18","Debit","Transport services",722242.65,44320
"2019-10-18","Mobile","Accommodation",8309.97,105
"2019-10-18","Mobile","Food and beverage services",94714.17,4572
"2019-10-18","Mobile","Other",238322.48,2934
"2019-10-18","Mobile","Professional services",43948.35,699
"2019-10-18","Mobile","Retail: Food, beverage, tobacco",282788.48,8340
"2019-10-18","Mobile","Retail: Fuel stations",14759.92,574
"2019-10-18","Mobile","Retail: Other goods",1372133.76,5231
"2019-10-18","Mobile","Transport services",258770.68,19052
"2019-10-19","Credit","Accommodation",5036132.18,20701
"2019-10-19","Credit","Food and beverage services",6655802.41000001,102482
"2019-10-19","Credit","Other",4412734.39,42852
"2019-10-19","Credit","Professional services",1988047.95,20901
"2019-10-19","Credit","Retail: Food, beverage, tobacco",18536877.09,358844
"2019-10-19","Credit","Retail: Fuel stations",3265342.56,66416
"2019-10-19","Credit","Retail: Other goods",35655270.9399998,216124
"2019-10-19","Credit","Transport services",2953048.89,170271
"2019-10-19","Debit","Accommodation",1825293.99,13652
"2019-10-19","Debit","Food and beverage services",7386311.88,165408
"2019-10-19","Debit","Other",5566487.56,59723
"2019-10-19","Debit","Professional services",1043418.03,12804
"2019-10-19","Debit","Retail: Food, beverage, tobacco",53550514.09,1063908
"2019-10-19","Debit","Retail: Fuel stations",8268324.07000001,191843
"2019-10-19","Debit","Retail: Other goods",47410423.4799999,522063
"2019-10-19","Debit","Transport services",701011.85,45475
"2019-10-19","Mobile","Accommodation",12363.2,93
"2019-10-19","Mobile","Food and beverage services",56762.14,1669
"2019-10-19","Mobile","Other",186810.43,2705
"2019-10-19","Mobile","Professional services",24962.14,435
"2019-10-19","Mobile","Retail: Food, beverage, tobacco",357624.58,7267
"2019-10-19","Mobile","Retail: Fuel stations",13942.27,475
"2019-10-19","Mobile","Retail: Other goods",1225217.82,5266
"2019-10-19","Mobile","Transport services",256305.85,18916
"2019-10-20","Credit","Accommodation",5443338.11999999,20471
"2019-10-20","Credit","Food and beverage services",4504225.26999999,78438
"2019-10-20","Credit","Other",2249610.28,28789
"2019-10-20","Credit","Professional services",1536151.41,16841
"2019-10-20","Credit","Retail: Food, beverage, tobacco",1754583.66,74175
"2019-10-20","Credit","Retail: Fuel stations",2896382.02,68326
"2019-10-20","Credit","Retail: Other goods",8807458.21000001,45118
"2019-10-20","Credit","Transport services",3089114.09,134920
"2019-10-20","Debit","Accommodation",1850012.41,12620
"2019-10-20","Debit","Food and beverage services",4630954.37000001,102282
"2019-10-20","Debit","Other",1572599.21,30287
"2019-10-20","Debit","Professional services",236794.62,4130
"2019-10-20","Debit","Retail: Food, beverage, tobacco",3259160.4,170974
"2019-10-20","Debit","Retail: Fuel stations",7352354.22,197946
"2019-10-20","Debit","Retail: Other goods",1899423.47,29746
"2019-10-20","Debit","Transport services",574458.21,26955
"2019-10-20","Mobile","Accommodation",5048.35,53
"2019-10-20","Mobile","Food and beverage services",49631.96,1387
"2019-10-20","Mobile","Other",177513.95,2133
"2019-10-20","Mobile","Professional services",33257.26,477
"2019-10-20","Mobile","Retail: Food, beverage, tobacco",58879.03,1843
"2019-10-20","Mobile","Retail: Fuel stations",13134.23,557
"2019-10-20","Mobile","Retail: Other goods",1005542.48,4020
"2019-10-20","Mobile","Transport services",258166.9,14011
"2019-10-21","Credit","Accommodation",4277888.93,17568
"2019-10-21","Credit","Food and beverage services",3804373.49,119241
"2019-10-21","Credit","Other",4451853.42,32075
"2019-10-21","Credit","Professional services",3709141.22999999,29927
"2019-10-21","Credit","Retail: Food, beverage, tobacco",10362139.9699999,307024
"2019-10-21","Credit","Retail: Fuel stations",2819851.96,61546
"2019-10-21","Credit","Retail: Other goods",22162521.7199999,148902
"2019-10-21","Credit","Transport services",3460544.37000001,157819
"2019-10-21","Debit","Accommodation",773488.93,7720
"2019-10-21","Debit","Food and beverage services",3824898.06,178018
"2019-10-21","Debit","Other",4716578.09,35838
"2019-10-21","Debit","Professional services",1767730.49,16017
"2019-10-21","Debit","Retail: Food, beverage, tobacco",29660267.15,921515
"2019-10-21","Debit","Retail: Fuel stations",7137713.61999999,178316
"2019-10-21","Debit","Retail: Other goods",24631722.26,322606
"2019-10-21","Debit","Transport services",590725.84,35574
"2019-10-21","Mobile","Accommodation",3590.7,90
"2019-10-21","Mobile","Food and beverage services",68766.75,4700
"2019-10-21","Mobile","Other",215565.15,2590
"2019-10-21","Mobile","Professional services",65470.54,941
"2019-10-21","Mobile","Retail: Food, beverage, tobacco",216328.37,8280
"2019-10-21","Mobile","Retail: Fuel stations",11151.81,524
"2019-10-21","Mobile","Retail: Other goods",1347795.82,5595
"2019-10-21","Mobile","Transport services",289330.53,15213
"2019-10-22","Credit","Accommodation",4639036.45999999,19876
"2019-10-22","Credit","Food and beverage services",4928177.28000001,134721
"2019-10-22","Credit","Other",5967534.15,39088
"2019-10-22","Credit","Professional services",3408932.69,24384
"2019-10-22","Credit","Retail: Food, beverage, tobacco",9973253.11999998,302285
"2019-10-22","Credit","Retail: Fuel stations",2897155.57000001,63808
"2019-10-22","Credit","Retail: Other goods",22123985.4099999,145421
"2019-10-22","Credit","Transport services",3464587.02,163038
"2019-10-22","Debit","Accommodation",823391.41,9058
"2019-10-22","Debit","Food and beverage services",4839985.39,201318
"2019-10-22","Debit","Other",5898042.2,44352
"2019-10-22","Debit","Professional services",1509228.41,14629
"2019-10-22","Debit","Retail: Food, beverage, tobacco",28295186.64,899686
"2019-10-22","Debit","Retail: Fuel stations",7323115.08,186068
"2019-10-22","Debit","Retail: Other goods",25367078.2599999,323096
"2019-10-22","Debit","Transport services",579485.65,37278
"2019-10-22","Mobile","Accommodation",5878.95,80
"2019-10-22","Mobile","Food and beverage services",74710.83,4837
"2019-10-22","Mobile","Other",230951.14,2660
"2019-10-22","Mobile","Professional services",50571.98,910
"2019-10-22","Mobile","Retail: Food, beverage, tobacco",204630.13,8039
"2019-10-22","Mobile","Retail: Fuel stations",12725.97,542
"2019-10-22","Mobile","Retail: Other goods",1306100.91,5841
"2019-10-22","Mobile","Transport services",239419.53,15119
"2019-10-23","Credit","Accommodation",5684718.89,22797
"2019-10-23","Credit","Food and beverage services",5532623.62000002,139779
"2019-10-23","Credit","Other",4878262.65,35890
"2019-10-23","Credit","Professional services",3482172.55,26031
"2019-10-23","Credit","Retail: Food, beverage, tobacco",10012778.89,302859
"2019-10-23","Credit","Retail: Fuel stations",3101314.32,68229
"2019-10-23","Credit","Retail: Other goods",22839436.9999999,148022
"2019-10-23","Credit","Transport services",3462534.2,167289
"2019-10-23","Debit","Accommodation",998194.96,10335
"2019-10-23","Debit","Food and beverage services",5418050.09,208238
"2019-10-23","Debit","Other",6129975.23,46121
"2019-10-23","Debit","Professional services",1514614.59,14954
"2019-10-23","Debit","Retail: Food, beverage, tobacco",28352060.24,907265
"2019-10-23","Debit","Retail: Fuel stations",7666868.46,195860
"2019-10-23","Debit","Retail: Other goods",27317588.6,344540
"2019-10-23","Debit","Transport services",640989.09,39469
"2019-10-23","Mobile","Accommodation",5307.15,100
"2019-10-23","Mobile","Food and beverage services",79693.03,4877
"2019-10-23","Mobile","Other",233828.36,2621
"2019-10-23","Mobile","Professional services",54411.34,803
"2019-10-23","Mobile","Retail: Food, beverage, tobacco",213790.18,8163
"2019-10-23","Mobile","Retail: Fuel stations",12024.03,602
"2019-10-23","Mobile","Retail: Other goods",2340274.22,6205
"2019-10-23","Mobile","Transport services",256165.87,15818
"2019-10-24","Credit","Accommodation",6048508.84,23403
"2019-10-24","Credit","Food and beverage services",5985584.37000001,147680
"2019-10-24","Credit","Other",4791723.06,35691
"2019-10-24","Credit","Professional services",3472786.92,25611
"2019-10-24","Credit","Retail: Food, beverage, tobacco",11021186.6800001,314536
"2019-10-24","Credit","Retail: Fuel stations",3155814.47,69220
"2019-10-24","Credit","Retail: Other goods",24934087.4399998,160392
"2019-10-24","Credit","Transport services",3541773.24,177373
"2019-10-24","Debit","Accommodation",1170587.38,11240
"2019-10-24","Debit","Food and beverage services",6050470.98000001,227718
"2019-10-24","Debit","Other",6661506.97,49176
"2019-10-24","Debit","Professional services",1531739.76,14723
"2019-10-24","Debit","Retail: Food, beverage, tobacco",30724885.59,937789
"2019-10-24","Debit","Retail: Fuel stations",7929662.13,200633
"2019-10-24","Debit","Retail: Other goods",29128262.19,358437
"2019-10-24","Debit","Transport services",619602.96,40765
"2019-10-24","Mobile","Accommodation",3228.25,81
"2019-10-24","Mobile","Food and beverage services",75494.46,4853
"2019-10-24","Mobile","Other",209214.99,2385
"2019-10-24","Mobile","Professional services",39698.75,757
"2019-10-24","Mobile","Retail: Food, beverage, tobacco",219481.89,8048
"2019-10-24","Mobile","Retail: Fuel stations",10814.13,512
"2019-10-24","Mobile","Retail: Other goods",1707969.5,5553
"2019-10-24","Mobile","Transport services",233842.95,15053
"2019-10-25","Credit","Accommodation",7067795.87000002,24940
"2019-10-25","Credit","Food and beverage services",7157102.26999999,150243
"2019-10-25","Credit","Other",5705293.32,40223
"2019-10-25","Credit","Professional services",3987787.11,26179
"2019-10-25","Credit","Retail: Food, beverage, tobacco",15138618.29,340332
"2019-10-25","Credit","Retail: Fuel stations",3398164.76000001,72155
"2019-10-25","Credit","Retail: Other goods",26750110.1399999,163404
"2019-10-25","Credit","Transport services",3794626.66999999,196402
"2019-10-25","Debit","Accommodation",1727435.91,15270
"2019-10-25","Debit","Food and beverage services",8843191.69000002,269737
"2019-10-25","Debit","Other",10913361.95,66066
"2019-10-25","Debit","Professional services",2020390.37,17920
"2019-10-25","Debit","Retail: Food, beverage, tobacco",49892970.85,1189308
"2019-10-25","Debit","Retail: Fuel stations",10716116.43,256943
"2019-10-25","Debit","Retail: Other goods",41062566.85,475091
"2019-10-25","Debit","Transport services",829769.91,47449
"2019-10-25","Mobile","Accommodation",7335.1,101
"2019-10-25","Mobile","Food and beverage services",112097.38,5281
"2019-10-25","Mobile","Other",446341.09,4617
"2019-10-25","Mobile","Professional services",52814.31,945
"2019-10-25","Mobile","Retail: Food, beverage, tobacco",313158.67,8919
"2019-10-25","Mobile","Retail: Fuel stations",15911.22,659
"2019-10-25","Mobile","Retail: Other goods",1387623.24,6314
"2019-10-25","Mobile","Transport services",366660.45,20678
"2019-10-26","Credit","Accommodation",5074711.53,22792
"2019-10-26","Credit","Food and beverage services",7015704.43000001,106780
"2019-10-26","Credit","Other",4372818.42,38733
"2019-10-26","Credit","Professional services",1933127.92,20242
"2019-10-26","Credit","Retail: Food, beverage, tobacco",17653129.96,339001
"2019-10-26","Credit","Retail: Fuel stations",3331530.37999999,68614
"2019-10-26","Credit","Retail: Other goods",35419328.0899998,205345
"2019-10-26","Credit","Transport services",3492907.01,195163
"2019-10-26","Debit","Accommodation",2012163.32,18502
"2019-10-26","Debit","Food and beverage services",8790677.69000002,193728
"2019-10-26","Debit","Other",6928597.22,63098
"2019-10-26","Debit","Professional services",1069001.77,12952
"2019-10-26","Debit","Retail: Food, beverage, tobacco",59221028.8900001,1173398
"2019-10-26","Debit","Retail: Fuel stations",10530419.92,244988
"2019-10-26","Debit","Retail: Other goods",57089090.7,624954
"2019-10-26","Debit","Transport services",1145659.54,55722
"2019-10-26","Mobile","Accommodation",9767.27,109
"2019-10-26","Mobile","Food and beverage services",75156.57,1914
"2019-10-26","Mobile","Other",276132.1,3167
"2019-10-26","Mobile","Professional services",35941.06,601
"2019-10-26","Mobile","Retail: Food, beverage, tobacco",395970.69,8159
"2019-10-26","Mobile","Retail: Fuel stations",14821.58,559
"2019-10-26","Mobile","Retail: Other goods",1468953.68,6265
"2019-10-26","Mobile","Transport services",311021.9,21539
"2019-10-27","Credit","Accommodation",5521087.75,22647
"2019-10-27","Credit","Food and beverage services",4946178.96,84413
"2019-10-27","Credit","Other",2435503.32,27726
"2019-10-27","Credit","Professional services",1634607.07,18255
"2019-10-27","Credit","Retail: Food, beverage, tobacco",1865630.74000001,76910
"2019-10-27","Credit","Retail: Fuel stations",3095201.45,71853
"2019-10-27","Credit","Retail: Other goods",10436239.08,53629
"2019-10-27","Credit","Transport services",3636602.10999999,159972
"2019-10-27","Debit","Accommodation",2193160.52,17255
"2019-10-27","Debit","Food and beverage services",5925111.04,128653
"2019-10-27","Debit","Other",1723904.21,28848
